# Directed graph (each unordered pair of nodes is saved once): soc-LiveJournal1.txt 
# Directed LiveJournal friednship social network
# Nodes: 4847571 Edges: 68993773
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	40
0	41
0	42
0	43
0	44
0	45
0	46
1	0
1	1
1	5
1	20
1	135
1	2409
1	8715
1	8932
1	10623
1	12347
1	12846
1	13840
1	13845
1	14005
1	20075
1	21556
1	22939
1	23520
1	28193
1	29724
1	29791
1	29826
1	30691
1	31232
1	31435
1	32317
1	32489
1	34394
1	35589
1	35605
1	35606
1	35613
1	35633
1	35648
1	35678
1	38737
1	43447
1	44846
1	44887
1	49226
1	49985
1	50466
1	50535
1	50544
1	50926
1	51065
1	51167
1	51357
1	52148
1	52904
1	52914
1	54313
1	54627
1	54683
1	55132
1	55655
1	55677
1	57039
1	58204
1	58609
1	58648
1	58680
1	58684
1	58719
1	58943
1	59027
1	59949
1	59959
1	61387
1	61398
1	61813
1	65299
1	70584
1	70827
1	71596
1	72863
1	72873
1	73303
1	73467
1	73987
1	77586
1	82854
1	83979
1	85496
1	87105
1	87591
1	88226
1	90926
1	90927
1	116663
1	116683
1	120160
1	126831
1	127301
1	129372
1	132527
1	133336
1	136130
1	137338
1	137408
1	137419
1	137681
1	140069
1	140148
1	141466
1	145401
1	147713
1	156978
1	157055
1	160164
1	161670
1	181377
1	182669
1	189782
1	195746
1	198866
1	200706
1	202767
1	209597
1	210672
1	210879
1	211635
1	216155
1	220064
1	226941
1	236100
1	245374
1	254847
1	280368
1	281094
1	283675
1	286019
1	286387
1	287310
1	300910
1	303947
1	316757
1	332173
1	336786
1	337266
1	341617
1	353571
1	357817
1	358039
1	365234
1	366077
1	372131
1	379142
1	379215
1	387077
1	400582
1	403098
1	409525
1	450220
1	450576
1	453928
1	453961
1	467338
1	471993
1	472012
1	490000
1	502745
1	511568
1	513638
1	526569
1	529069
1	529073
1	532819
1	634327
1	647711
1	647782
1	651508
1	652179
1	657797
1	658565
1	721638
1	727591
1	731779
1	739840
1	747340
1	798018
1	801299
1	809863
1	818816
1	849821
1	891340
1	902875
1	940045
1	943699
1	945057
1	945068
1	980472
1	1012396
1	1077305
1	1077310
1	1104276
1	1114195
1	1154406
1	1160589
1	1264613
1	1283363
1	1322343
1	1349534
1	1413119
1	1413120
1	1413121
1	1413122
1	1413123
1	1413124
1	1413125
2	117
2	135
2	1220
2	2755
2	12453
2	24539
2	24714
2	41456
2	45046
2	49927
2	51310
2	51553
2	51833
2	52355
2	58902
2	59129
2	59130
2	59149
2	64073
2	68038
2	82129
2	90524
2	131716
2	134514
2	136856
2	137399
2	144308
2	155019
2	176572
2	181437
2	186783
2	190157
2	192796
2	197374
2	203801
2	209597
2	216799
2	220655
2	240010
2	240512
2	246809
2	284518
2	288046
2	289510
2	303476
2	303487
2	303488
2	320916
2	325740
2	332126
2	339351
2	349842
2	351016
2	366324
2	434411
2	463412
2	523726
2	548878
2	548883
2	679860
2	735373
2	750319
2	756447
2	776664
2	776666
2	776668
2	776670
2	801761
2	884457
2	887128
2	887130
2	887132
2	887137
2	912067
2	937876
2	940490
2	952483
2	957010
2	974274
2	996011
2	1007393
2	1185054
2	1261727
2	1322701
2	1353607
2	1380781
2	1589253
2	1866608
2	1866610
2	1866611
2	1916935
2	1932486
2	2298625
2	2485224
2	2492295
2	2492298
2	2599674
